order,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmt_fin_type_1,bsmt_fin_sf_1,bsmt_fin_type_2,bsmt_fin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,first_flr_sf,second_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,three_ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,sale_condition,sale_price,sale_price_norm,sale_price_z,gr_liv_area_norm,gr_liv_area_z,total_bsmt_sf_norm,total_bsmt_sf_z,lot_area_norm,lot_area_z,year_built_norm,year_built_z,overall_qual_norm,overall_qual_z,garage_area_norm,garage_area_z,log_sale_price
1,526301100,20,RL,141.0,31770,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112.0,4,4,CBlock,4,5,Gd,BLQ,639.0,Unf,0.0,441.0,1080.0,GasA,3,Y,SBrkr,1656,0,0,1656,1.0,0.0,1,0,3,1,4,7,Typ,2,5,Attchd,1960.0,Fin,2.0,528.0,4,4,P,210,62,0,0,0,0,None,None,None,0,5,2010,WD ,Normal,215000,0.2724440893492551,0.42788264155042965,0.31916948334138096,0.3252854939855316,0.3368683718028696,0.0770154343913077,0.14241978078478112,2.783113325526587,0.6376811594202898,-0.3743274732479243,0.5555555555555556,-0.06462690740033272,0.3548387096774194,0.26176054747970084,12.2783933071098
2,526350040,20,RH,80.0,11622,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,4,CBlock,4,4,No,Rec,468.0,LwQ,144.0,270.0,882.0,GasA,4,Y,SBrkr,896,0,0,896,0.0,0.0,1,0,2,1,4,5,Typ,0,1,Attchd,1961.0,Unf,1.0,730.0,4,4,Y,140,0,0,0,120,0,None,MnPrv,None,0,6,2010,WD ,Normal,105000,0.12423825569817747,-0.9483790932804116,0.13568324480927088,-1.2194511744758356,0.27510917030567683,-0.3912190809431817,0.048246044544158546,0.19435299520676821,0.644927536231884,-0.3412570402939935,0.4444444444444444,-0.7757658471024885,0.4905913978494624,1.2053292588163003,11.56171562913966
3,526351010,20,RL,81.0,14267,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,4,4,CBlock,4,4,No,ALQ,923.0,Unf,0.0,406.0,1329.0,GasA,4,Y,SBrkr,1329,0,0,1329,0.0,0.0,1,1,3,1,5,6,Typ,0,1,Attchd,1958.0,Unf,1.0,312.0,4,4,Y,393,36,0,0,0,0,None,None,Gar2,12500,6,2010,WD ,Normal,172000,0.21450908164928842,-0.11011058206526285,0.24022211492032836,-0.3393577831024514,0.4145352464129757,0.6658558097361958,0.060609035032368135,0.5342016687076577,0.6231884057971014,-0.44046833915578587,0.5555555555555556,-0.06462690740033272,0.20967741935483872,-0.747204015137653,12.05524975579559
4,526353030,20,RL,93.0,11160,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,None,0.0,5,4,CBlock,4,4,No,ALQ,1065.0,Unf,0.0,1045.0,2110.0,GasA,6,Y,SBrkr,2110,0,0,2110,1.0,0.0,2,1,3,1,6,8,Typ,2,4,Attchd,1968.0,Fin,2.0,522.0,4,4,Y,0,0,0,0,0,0,None,None,None,0,4,2010,WD ,Normal,244000,0.31151653640272103,0.790715280733106,0.4287783679381941,1.248062398566401,0.6581409856519027,2.5127808424444598,0.04608661104489471,0.13499190365387184,0.6956521739130435,-0.1097640096164779,0.6666666666666666,0.6465120323018231,0.35080645161290325,0.23373375407366326,12.404923504275338
5,527105010,60,RL,74.0,13830,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,4,PConc,5,4,No,GLQ,791.0,Unf,0.0,137.0,928.0,GasA,5,Y,SBrkr,928,701,0,1629,0.0,0.0,2,1,3,1,4,6,Typ,1,4,Attchd,1997.0,Fin,2.0,482.0,4,4,Y,212,34,0,0,0,0,None,MnPrv,None,0,3,2010,WD ,Normal,189900,0.23862621276160015,0.11384473660266496,0.31265089328826656,0.27040669129019357,0.2894572676232065,-0.282437324855371,0.05856645399518568,0.4780527574335977,0.9057971014492754,0.8492785460475153,0.4444444444444444,-0.7757658471024885,0.3239247311827957,0.046888464700079194,12.154252896800378
6,527105030,60,RL,78.0,9978,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,4,4,PConc,4,4,No,GLQ,602.0,Unf,0.0,324.0,926.0,GasA,6,Y,SBrkr,926,678,0,1604,0.0,0.0,2,1,3,1,5,7,Typ,1,5,Attchd,1998.0,Fin,2.0,470.0,4,4,Y,360,36,0,0,0,0,None,None,None,0,6,2010,WD ,Normal,195500,0.24617123702020047,0.18390897037587142,0.306615161757605,0.21959298509080646,0.288833437305053,-0.28716696642440626,0.04056182663768726,-0.01687997992951242,0.9130434782608695,0.882348979001446,0.5555555555555556,-0.06462690740033272,0.31586021505376344,-0.009165122111996023,12.183315658407558
7,527127150,120,RL,41.0,4920,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2001,Gable,CompShg,CemntBd,CmentBd,None,0.0,5,4,PConc,5,4,Mn,GLQ,616.0,Unf,0.0,722.0,1338.0,GasA,6,Y,SBrkr,1338,0,0,1338,1.0,0.0,2,0,2,1,5,6,Typ,0,1,Attchd,2001.0,Fin,2.0,582.0,4,4,Y,0,0,170,0,0,0,None,None,None,0,4,2010,WD ,Normal,213500,0.27042310070855863,0.40911543607546363,0.2423949782713665,-0.32106484887067205,0.41734248284466624,0.6871391967968545,0.016920236509383253,-0.6667682939436897,0.9347826086956522,0.9815602778632385,0.7777777777777778,1.3576509720039789,0.3911290322580645,0.5140016881340393,12.271392111650817
8,527145080,120,RL,43.0,5005,Pave,None,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,5,4,PConc,5,4,No,ALQ,263.0,Unf,0.0,1017.0,1280.0,GasA,6,Y,SBrkr,1280,0,0,1280,0.0,0.0,2,0,2,1,5,5,Typ,0,1,Attchd,1992.0,RFn,2.0,506.0,4,4,Y,0,82,0,0,144,0,None,None,None,0,1,2010,WD ,Normal,191500,0.24078193397834308,0.13386308910929537,0.22839208112023177,-0.43895264725325006,0.39925140361821587,0.5499795912948323,0.01731753488045993,-0.655846880995646,0.8695652173913043,0.6839263812778613,0.7777777777777778,1.3576509720039789,0.3400537634408602,0.15899563832422964,12.162643087602838
9,527146030,120,RL,39.0,5389,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,None,0.0,5,4,PConc,5,4,No,GLQ,1180.0,Unf,0.0,415.0,1595.0,GasA,6,Y,SBrkr,1616,0,0,1616,1.0,0.0,2,0,2,1,5,5,Typ,1,4,Attchd,1995.0,RFn,2.0,608.0,4,4,Y,237,152,0,0,0,0,None,None,None,0,3,2010,WD ,Normal,236500,0.3014115931992385,0.6968792533582759,0.30951231289232256,0.24398356406651228,0.49750467872738613,1.2948981384178837,0.019112388698029868,-0.6065077919127192,0.8913043478260869,0.7831376801396537,0.7777777777777778,1.3576509720039789,0.40860215053763443,0.635451126226869,12.373703486914124
10,527162130,60,RL,60.0,7500,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,4,PConc,4,4,No,Unf,0.0,Unf,0.0,994.0,994.0,GasA,5,Y,SBrkr,1028,776,0,1804,0.0,0.0,2,1,3,1,5,7,Typ,1,4,Attchd,1999.0,Fin,2.0,442.0,4,4,Y,140,60,0,0,0,0,None,None,None,0,6,2010,WD ,Normal,189000,0.23741361957718224,0.10258441331768535,0.35490101400289714,0.6261026346859031,0.31004366812227074,-0.12635915307720788,0.02897941059618126,-0.3352712891677749,0.9202898550724637,0.9154194119553769,0.6666666666666666,0.6465120323018231,0.2970430107526882,-0.13995682467350487,12.14950229404178
